customer_id,name,email,phone,city,join_date
CUST-10000,Ojas Dua,vhayre@example.org,+915635457222,Sharjah,2025-10-12
CUST-10001,Rehaan Subramaniam,hredhaan02@example.com,4738107247,Dubai,2025-01-27
CUST-10002,Naveen Sengupta,vyanjanapal@example.net,4127397183,Ajman,2025-04-06
CUST-10003,Yashvi Narayanan,abeerpillai@example.com,+912808739063,Sharjah,2025-11-16
CUST-10004,Om Karnik,skota@example.org,7169738831,Abu Dhabi,2024-05-10
CUST-10005,Jagvi Kamdar,wyattperi@example.com,+914946117956,Abu Dhabi,2025-08-15
CUST-10006,Chanakya Acharya,yugbajaj@example.org,09773612353,Sharjah,2024-11-01
CUST-10007,Keya Gokhale,om74@example.org,+910883938823,Abu Dhabi,2025-01-25
CUST-10008,Krish Mannan,urvashibumb@example.net,00782470434,Dubai,2025-11-18
CUST-10009,Yatin Bora,bhavya58@example.com,05204022128,Ajman,2025-10-28
CUST-10010,Madhavi Rattan,jagdishissac@example.net,4742189469,Ajman,2025-07-28
CUST-10011,Chandani Ganguly,cdube@example.com,6114746124,Dubai,2025-12-09
CUST-10012,Jagrati Sant,skannan@example.net,+916714318042,Ajman,2025-08-07
CUST-10013,Aarnav Mani,mkeer@example.org,07814160389,Dubai,2024-08-30
CUST-10014,Madhavi Kaur,chadaindira@example.com,05151441254,Abu Dhabi,2025-11-14
CUST-10015,Frederick Srivastava,vighemangini@example.org,2885837635,Sharjah,2025-07-29
CUST-10016,Lila Devi,trivenisalvi@example.com,+917887257042,Sharjah,2025-06-15
CUST-10017,Aradhana Patel,laksh06@example.com,+919954029518,Abu Dhabi,2025-10-15
CUST-10018,Bahadurjit Sandhu,krish46@example.org,3249811490,Sharjah,2025-08-18
CUST-10019,Bimala Gaba,gpau@example.org,2149769860,Ajman,2024-06-01
CUST-10020,Lajita Vora,chakradevcomar@example.com,+912020995352,Abu Dhabi,2024-12-26
CUST-10021,Gabriel Sangha,hemanginisaha@example.org,+919708126094,Abu Dhabi,2025-08-16
CUST-10022,Girik Kapur,dhilloninaya@example.org,07731894286,Abu Dhabi,2024-11-10
CUST-10023,Aadi Datta,tejas31@example.com,4610664605,Abu Dhabi,2024-12-17
CUST-10024,Lajita Dhingra,chameli95@example.net,08487209611,Dubai,2024-10-02
CUST-10025,Lakshmi Mistry,wishihari@example.org,01766392020,Ajman,2025-07-16
CUST-10026,Waida Pillai,warhibhardwaj@example.org,5546025201,Abu Dhabi,2025-08-24
CUST-10027,Nilima Parikh,adityabora@example.net,0108138817,Abu Dhabi,2024-09-21
CUST-10028,Dipta Hegde,vihaansehgal@example.net,+912885700303,Dubai,2025-01-06
CUST-10029,Deepa Lall,eiravati78@example.com,+911082319973,Sharjah,2025-08-06
CUST-10030,Alexander Gola,mittalshaurya@example.org,+918603518800,Ajman,2026-01-24
CUST-10031,Zaitra Ben,zansirastogi@example.net,1327042762,Abu Dhabi,2026-03-09
CUST-10032,Akshay Sehgal,vivaanpandey@example.com,5109266448,Ajman,2025-02-01
CUST-10033,Chanchal Baral,ganeshdakshesh@example.com,01378475870,Ajman,2025-07-08
CUST-10034,Saksham Suri,vrastogi@example.com,+917350563448,Dubai,2026-04-11
CUST-10035,Alexander Krishnamurthy,gabrielmitter@example.com,01988339707,Ajman,2025-02-24
CUST-10036,Ubika Sachdeva,vinaya98@example.com,+911298791210,Sharjah,2024-08-17
CUST-10037,Meghana Balakrishnan,zdar@example.com,07071204689,Dubai,2024-09-05
CUST-10038,Balhaar Agrawal,ezachariah@example.org,4488922001,Ajman,2024-12-08
CUST-10039,Jhalak Bahri,darshshere@example.net,02780123714,Ajman,2026-01-14
CUST-10040,Ekaraj Jha,settyaishani@example.com,09565225646,Sharjah,2025-06-20
CUST-10041,Janani Brar,kamala97@example.com,06650820489,Dubai,2024-06-28
CUST-10042,Vivaan Chaudhari,bainskevin@example.org,3149278177,Sharjah,2024-08-07
CUST-10043,Forum Rama,bhavya47@example.com,+913185552295,Sharjah,2024-12-19
CUST-10044,Kavya Narula,ebora@example.org,3601031988,Sharjah,2025-08-02
CUST-10045,Pallavi Hari,pvenkatesh@example.com,+913996141437,Ajman,2024-12-25
CUST-10046,Jalsa Chander,dayamaisur@example.net,9217540139,Abu Dhabi,2024-10-19
CUST-10047,George Nath,sankaranbanjeet@example.net,00713759344,Abu Dhabi,2025-08-28
CUST-10048,Avni Joshi,aarushhans@example.org,0327367251,Abu Dhabi,2025-02-01
CUST-10049,Radha Tella,mandaishanvi@example.net,07516030373,Abu Dhabi,2024-12-24
CUST-10050,Bina Rai,idada@example.org,00548573250,Sharjah,2025-09-30
CUST-10051,Tanay Kara,oommenindali@example.com,03999595915,Abu Dhabi,2025-03-21
CUST-10052,Aarav Chacko,charles04@example.com,6704069236,Abu Dhabi,2024-10-20
CUST-10053,Mitesh Dubey,nmorar@example.org,4221574143,Dubai,2026-02-13
CUST-10054,Zarna Nath,upkaar18@example.com,5421042083,Abu Dhabi,2024-08-19
CUST-10055,Quincy Om,chawlawilliam@example.com,00413475378,Dubai,2024-06-20
CUST-10056,Isaac Sachar,nandini68@example.com,+914196508460,Ajman,2025-03-26
CUST-10057,Ronith Parmar,karpekashish@example.org,04975972784,Abu Dhabi,2025-05-30
CUST-10058,Udarsh Ranganathan,riyasrinivas@example.net,+918164962953,Dubai,2024-10-20
CUST-10059,Raagini Kade,jagatsarin@example.net,5166616083,Ajman,2026-01-05
CUST-10060,Guneet Thaman,manejai@example.net,+917417653000,Sharjah,2025-11-30
CUST-10061,Pooja Luthra,batraaadhya@example.net,08267154187,Abu Dhabi,2024-11-07
CUST-10062,Ekaraj Walia,hvyas@example.org,8765527868,Sharjah,2024-07-18
CUST-10063,Ronith Lal,esuri@example.org,9402678212,Dubai,2025-05-06
CUST-10064,Zaitra Kurian,sachishukla@example.com,+912484715428,Sharjah,2026-03-24
CUST-10065,Divya Wason,elijah39@example.net,04693497696,Sharjah,2025-11-27
CUST-10066,Yachana Naik,deviupadhriti@example.org,6783681701,Ajman,2025-12-17
CUST-10067,Warinder Nagar,nihal35@example.com,6185312616,Dubai,2025-04-16
CUST-10068,Indira Sampath,atharv34@example.net,08754137518,Abu Dhabi,2025-06-16
CUST-10069,Bhavna Mistry,sainitristan@example.org,06238945568,Dubai,2026-01-19
CUST-10070,Daksh Sha,nachiketratta@example.com,9360045192,Dubai,2026-01-25
CUST-10071,Vasatika Thaman,benrajeshri@example.com,8802550069,Abu Dhabi,2026-02-16
CUST-10072,Dalbir Lata,nidra53@example.net,4905661083,Ajman,2026-01-06
CUST-10073,Nisha Raghavan,amerchant@example.com,7375723506,Sharjah,2025-02-24
CUST-10074,Tanveer Dayal,balendra80@example.org,00735896501,Abu Dhabi,2024-10-06
CUST-10075,Amaira Pillay,ishaanandra@example.com,1028039511,Dubai,2025-07-23
CUST-10076,Gopal Mukhopadhyay,cmitra@example.org,2033981308,Sharjah,2024-10-25
CUST-10077,Frado Nanda,isaac81@example.net,+912218621247,Abu Dhabi,2024-09-03
CUST-10078,Omisha Bhandari,semhardik@example.com,3670894006,Sharjah,2026-03-08
CUST-10079,Nilima Sinha,dbhasin@example.net,8037220824,Sharjah,2025-12-01
CUST-10080,Bahadurjit Hans,wishisrinivas@example.com,+913736232737,Abu Dhabi,2025-03-09
CUST-10081,Widisha Tara,loyalkamya@example.org,+918641998952,Abu Dhabi,2024-12-25
CUST-10082,Aishani Memon,turvidugar@example.org,+914760791491,Sharjah,2025-03-13
CUST-10083,Harish Narayan,okhurana@example.org,+911744454783,Sharjah,2024-06-12
CUST-10084,Sara Uppal,ekapad71@example.org,+912076532938,Sharjah,2024-11-24
CUST-10085,Aishani Nadig,lila64@example.org,+911046387164,Sharjah,2024-08-30
CUST-10086,Jeet Sagar,vasudhaganesan@example.org,9975547804,Ajman,2024-05-14
CUST-10087,Maanas Amble,zachariahluke@example.net,02421091113,Sharjah,2025-03-26
CUST-10088,Gunbir Vyas,sanghagaurika@example.org,01635924538,Sharjah,2025-11-09
CUST-10089,Gauri Prashad,goswamiansh@example.com,+914586488171,Dubai,2024-11-14
CUST-10090,Balhaar Rajagopal,teerth75@example.com,5280990590,Ajman,2025-08-14
CUST-10091,Onveer Kala,mannaryan@example.com,5388336957,Dubai,2025-08-26
CUST-10092,Forum Dewan,orinder93@example.com,+916779171568,Ajman,2025-01-28
CUST-10093,Gaurangi Bora,aishanisarna@example.com,+914833712665,Ajman,2025-01-01
CUST-10094,Tejas Bali,dewansanya@example.org,+919143636626,Ajman,2025-07-17
